 1.1  0.3    0  0.9 -0.4    0  1.1  0.3    0  0.9 -0.4    0
        1.1         0.3 0.000536803    0.900003        -0.4 0.000536803         1.1         0.3 0.000536803    0.900003        -0.4 0.000536803
   1.10001        0.3 0.00150792   0.906441  -0.400039 -0.0125442    1.10001        0.3 0.00150792   0.906441  -0.400039 -0.0125442
   1.09964   0.299999 0.00250946   0.908636  -0.400071 -0.0165538    1.09964   0.299999 0.00250946   0.908636  -0.400071 -0.0165538
   1.09888   0.299997 0.00354143   0.906588  -0.400042  -0.011492    1.09888   0.299997 0.00354143   0.906588  -0.400042  -0.011492
   1.09774   0.299992 0.00460381   0.900297  -0.400014 0.00264101    1.09774   0.299992 0.00460381   0.900297  -0.400014 0.00264101
   1.09622   0.299984 0.00569661   0.889763  -0.400164  0.0258454    1.09622   0.299984 0.00569661   0.889763  -0.400164  0.0258454
   1.09431   0.299973 0.00681984   0.874999  -0.400784  0.0580851    1.09431   0.299973 0.00681984   0.874999  -0.400784  0.0580851
   1.09202   0.299956 0.00797347   0.856017  -0.402042  0.0742205    1.09202   0.299956 0.00797347   0.856017  -0.402042  0.0742205
  1.08934  0.299933 0.0091573  0.846504 -0.402749 0.0742514   1.08934  0.299933 0.0091573  0.846504 -0.402749 0.0742514
  1.08628  0.299903 0.0103587  0.846452 -0.402753 0.0581779   1.08628  0.299903 0.0103587  0.846452 -0.402753 0.0581779
  1.08366  0.299874 0.0114061  0.855876 -0.402356     0.026   1.08366  0.299874 0.0114061  0.855876 -0.402356     0.026
   1.08215   0.299856  0.0124134   0.874794   -0.40232 -0.0222823    1.08215   0.299856  0.0124134   0.874794   -0.40232 -0.0222823
   1.0811  0.299843  0.013413  0.903152 -0.403867 -0.086669    1.0811  0.299843  0.013413  0.903152 -0.403867 -0.086669
  1.08049  0.299834  0.014405  0.940728 -0.408662  -0.16716   1.08049  0.299834  0.014405  0.940728 -0.408662  -0.16716
  1.08033  0.299832 0.0153894  0.987273 -0.417482 -0.207411   1.08033  0.299832 0.0153894  0.987273 -0.417482 -0.207411
